# fixture_id,F3FD7C
# firmware,net-bench-2026-08-06.4
# capture_id,7
# pulse_ms,12
# requested_conversion_hz,80000
# vsns_sample_hz,40318.652
# d7s_sample_hz,40318.652
# radio_quiet,true
t_ms,bank_v,vsns_mv,d7s_mv,gate_command
-10.3178,5.0782,1260,0,0
-10.2930,5.0782,1260,0,0
-10.2682,5.0782,1260,0,0
-10.2434,5.0862,1262,0,0
-10.2186,5.0862,1262,0,0
-10.1938,5.0782,1260,0,0
-10.1690,5.0661,1257,0,0
-10.1442,5.0862,1262,0,0
-10.1194,5.0943,1264,0,0
-10.0946,5.0862,1262,0,0
-10.0698,5.0782,1260,0,0
-10.0450,5.1104,1268,0,0
-10.0202,5.0943,1264,0,0
-9.9954,5.0782,1260,0,0
-9.9706,5.0661,1257,0,0
-9.9458,5.0943,1264,0,0
-9.9210,5.0782,1260,0,0
-9.8962,5.0943,1264,0,0
-9.8714,5.1064,1267,0,0
-9.8466,5.0338,1249,0,0
-9.8218,5.0782,1260,0,0
-9.7970,5.0862,1262,0,0
-9.7722,5.0862,1262,0,0
-9.7473,5.0782,1260,0,0
-9.7225,5.0782,1260,0,0
-9.6977,5.0943,1264,0,0
-9.6729,5.0782,1260,0,0
-9.6481,5.0943,1264,0,0
-9.6233,5.0862,1262,0,0
-9.5985,5.0782,1260,0,0
-9.5737,5.0822,1261,0,0
-9.5489,5.0822,1261,0,0
-9.5241,5.0580,1255,0,0
-9.4993,5.0822,1261,0,0
-9.4745,5.0943,1264,0,0
-9.4497,5.0943,1264,0,0
-9.4249,5.1064,1267,0,0
-9.4001,5.0822,1261,0,0
-9.3753,5.0742,1259,0,0
-9.3505,5.0943,1264,0,0
-9.3257,5.0862,1262,0,0
-9.3009,5.0862,1262,0,0
-9.2761,5.0943,1264,0,0
-9.2513,5.0822,1261,0,0
-9.2265,5.0943,1264,0,0
-9.2017,5.0983,1265,0,0
-9.1769,5.0742,1259,0,0
-9.1521,5.0782,1260,0,0
-9.1273,5.0500,1253,0,0
-9.1025,5.0782,1260,0,0
-9.0777,5.0943,1264,0,0
-9.0529,5.0943,1264,0,0
-9.0281,5.0862,1262,0,0
-9.0033,5.0782,1260,0,0
-8.9785,5.0943,1264,0,0
-8.9537,5.0983,1265,0,0
-8.9289,5.0782,1260,0,0
-8.9041,5.0661,1257,0,0
-8.8793,5.0782,1260,0,0
-8.8545,5.0943,1264,0,0
-8.8297,5.0782,1260,0,0
-8.8049,5.0862,1262,0,0
-8.7801,5.0943,1264,0,0
-8.7553,5.0661,1257,0,0
-8.7305,5.0782,1260,0,0
-8.7056,5.0822,1261,0,0
-8.6808,5.0903,1263,0,0
-8.6560,5.1024,1266,0,0
-8.6312,5.0862,1262,0,0
-8.6064,5.0862,1262,0,0
-8.5816,5.0742,1259,0,0
-8.5568,5.0903,1263,0,0
-8.5320,5.0983,1265,0,0
-8.5072,5.0782,1260,0,0
-8.4824,5.0943,1264,0,0
-8.4576,5.1064,1267,0,0
-8.4328,5.0903,1263,0,0
-8.4080,5.0782,1260,0,0
-8.3832,5.0862,1262,0,0
-8.3584,5.0822,1261,0,0
-8.3336,5.0701,1258,0,0
-8.3088,5.0943,1264,0,0
-8.2840,5.0742,1259,0,0
-8.2592,5.0782,1260,0,0
-8.2344,5.0983,1265,0,0
-8.2096,5.0782,1260,0,0
-8.1848,5.0943,1264,0,0
-8.1600,5.0943,1264,0,0
-8.1352,5.0943,1264,0,0
-8.1104,5.0822,1261,0,0
-8.0856,5.0903,1263,0,0
-8.0608,5.0862,1262,0,0
-8.0360,5.0177,1245,0,0
-8.0112,5.0338,1249,0,0
-7.9864,5.1024,1266,0,0
-7.9616,5.0943,1264,0,0
-7.9368,5.0862,1262,0,0
-7.9120,5.0661,1257,0,0
-7.8872,5.1145,1269,0,0
-7.8624,5.0742,1259,0,0
-7.8376,5.0822,1261,0,0
-7.8128,5.0862,1262,0,0
-7.7880,5.0822,1261,0,0
-7.7632,5.1064,1267,0,0
-7.7384,5.0782,1260,0,0
-7.7136,5.0983,1265,0,0
-7.6887,5.0782,1260,0,0
-7.6639,5.0822,1261,0,0
-7.6391,5.0822,1261,0,0
-7.6143,5.0943,1264,0,0
-7.5895,5.0822,1261,0,0
-7.5647,5.0782,1260,0,0
-7.5399,5.0983,1265,0,0
-7.5151,5.0782,1260,0,0
-7.4903,5.0862,1262,0,0
-7.4655,5.1024,1266,0,0
-7.4407,5.0782,1260,0,0
-7.4159,5.0782,1260,0,0
-7.3911,5.0742,1259,0,0
-7.3663,5.0943,1264,0,0
-7.3415,5.0862,1262,0,0
-7.3167,5.1225,1271,0,0
-7.2919,5.0943,1264,0,0
-7.2671,5.0983,1265,0,0
-7.2423,5.0742,1259,0,0
-7.2175,5.0903,1263,0,0
-7.1927,5.0782,1260,0,0
-7.1679,5.0822,1261,0,0
-7.1431,5.0903,1263,0,0
-7.1183,5.0742,1259,0,0
-7.0935,5.0983,1265,0,0
-7.0687,5.0782,1260,0,0
-7.0439,5.0822,1261,0,0
-7.0191,5.0943,1264,0,0
-6.9943,5.0782,1260,0,0
-6.9695,5.0822,1261,0,0
-6.9447,5.0943,1264,0,0
-6.9199,5.0782,1260,0,0
-6.8951,5.0862,1262,0,0
-6.8703,5.0782,1260,0,0
-6.8455,5.0782,1260,0,0
-6.8207,5.1145,1269,0,0
-6.7959,5.0943,1264,0,0
-6.7711,5.0903,1263,0,0
-6.7463,5.0701,1258,0,0
-6.7215,5.0742,1259,0,0
-6.6967,5.0782,1260,0,0
-6.6719,5.0983,1265,0,0
-6.6470,5.1024,1266,0,0
-6.6222,5.0943,1264,0,0
-6.5974,5.0782,1260,0,0
-6.5726,5.0903,1263,0,0
-6.5478,5.1064,1267,0,0
-6.5230,5.1064,1267,0,0
-6.4982,5.0862,1262,0,0
-6.4734,5.0983,1265,0,0
-6.4486,5.0943,1264,0,0
-6.4238,5.0862,1262,0,0
-6.3990,5.0943,1264,0,0
-6.3742,5.0943,1264,0,0
-6.3494,5.0782,1260,0,0
-6.3246,5.0943,1264,0,0
-6.2998,5.0862,1262,0,0
-6.2750,5.0782,1260,0,0
-6.2502,5.0943,1264,0,0
-6.2254,5.0822,1261,0,0
-6.2006,5.0903,1263,0,0
-6.1758,5.0862,1262,0,0
-6.1510,5.0742,1259,0,0
-6.1262,5.0661,1257,0,0
-6.1014,5.1064,1267,0,0
-6.0766,5.0862,1262,0,0
-6.0518,5.0943,1264,0,0
-6.0270,5.1064,1267,0,0
-6.0022,5.0943,1264,0,0
-5.9774,5.0742,1259,0,0
-5.9526,5.0862,1262,0,0
-5.9278,5.1225,1271,0,0
-5.9030,5.0862,1262,0,0
-5.8782,5.0943,1264,0,0
-5.8534,5.0903,1263,0,0
-5.8286,5.0862,1262,0,0
-5.8038,5.0742,1259,0,0
-5.7790,5.0862,1262,0,0
-5.7542,5.0701,1258,0,0
-5.7294,5.0943,1264,0,0
-5.7046,5.0943,1264,0,0
-5.6798,5.1064,1267,0,0
-5.6550,5.0862,1262,0,0
